par_state,par_county,kid_race,par_pctile,shrunk_xkid_stubalance2020,county_name
1,15,AIAN,75,12230,Calhoun
1,15,White,25,6708,Calhoun
1,15,Pooled,25,10126.21046831956,Calhoun
1,15,Asian,25,10760,Calhoun
1,15,Pooled,75,12522.60216606498,Calhoun
1,15,Hispanic,50,14815,Calhoun
1,15,Black,50,22495,Calhoun
1,15,Black,25,16800,Calhoun
1,15,Black,-9,19155.43909348442,Calhoun
1,15,Pooled,-9,11163.39875,Calhoun
1,15,White,75,10560,Calhoun
1,15,AIAN,-9,10339.5,Calhoun
1,15,Asian,75,9584,Calhoun
1,15,AIAN,25,8449,Calhoun
1,15,Pooled,50,11324.40631719227,Calhoun
1,15,Hispanic,-9,14934.16666666667,Calhoun
1,15,AIAN,50,10339.5,Calhoun
1,15,White,50,8634,Calhoun
1,15,White,-9,8634,Calhoun
1,15,Asian,-9,10172,Calhoun
1,15,Hispanic,75,14100,Calhoun
1,17,Pooled,50,11224.83884403435,Chambers
1,17,White,75,8811,Chambers
1,17,Black,-9,15811.98895027624,Chambers
1,17,Hispanic,75,33190,Chambers
1,17,Pooled,75,11685.51851851852,Chambers
1,17,White,25,5495,Chambers
1,17,Hispanic,25,5248,Chambers
1,17,Hispanic,-9,19219,Chambers
1,17,White,50,7153,Chambers
1,17,Black,25,14730,Chambers
1,17,Black,50,20850,Chambers
1,17,Pooled,-9,11057.51650943396,Chambers
1,17,Pooled,25,10764.15916955017,Chambers
1,17,Hispanic,50,19219,Chambers
1,17,White,-9,7117.723404255319,Chambers
1,17,Black,75,26970,Chambers
1,19,Black,75,14960,Cherokee
1,19,Black,50,12835,Cherokee
1,19,Pooled,75,10026.61417322835,Cherokee
1,19,White,25,4198,Cherokee
1,19,Hispanic,50,8175,Cherokee
1,19,Hispanic,75,11470,Cherokee
1,19,White,-9,6123,Cherokee
1,19,Pooled,25,4501.620853080569,Cherokee
1,19,Pooled,-9,6577.579881656805,Cherokee
1,19,Pooled,50,7264.117513154458,Cherokee
1,19,Black,-9,12835,Cherokee
1,19,Black,25,10710,Cherokee
1,19,Hispanic,25,4880,Cherokee
1,19,Hispanic,-9,8175,Cherokee
1,19,White,50,6858,Cherokee
1,19,White,75,9518,Cherokee
1,21,Hispanic,25,7029,Chilton
1,21,Hispanic,-9,17859.5,Chilton
1,21,Hispanic,50,17859.5,Chilton
1,21,Black,50,22905,Chilton
1,21,White,25,4630,Chilton
1,21,Hispanic,75,28690,Chilton
1,21,Pooled,50,8515.797556978996,Chilton
1,21,Black,75,29900,Chilton
1,21,Black,-9,18397.11111111111,Chilton
1,21,Black,25,15910,Chilton
1,21,Pooled,75,10223.24817518248,Chilton
1,21,Pooled,-9,8213.276276276276,Chilton
1,21,Pooled,25,6808.34693877551,Chilton
1,21,White,50,6501.5,Chilton
1,21,White,75,8373,Chilton
1,21,White,-9,6300.982142857143,Chilton
1,23,Hispanic,25,18080,Choctaw
1,23,Hispanic,-9,17150,Choctaw
1,23,White,75,7311,Choctaw
1,23,White,-9,7287.155844155845,Choctaw
1,23,Pooled,-9,13540.70700636943,Choctaw
1,23,Pooled,25,14402.23300970874,Choctaw
1,23,Pooled,75,11897.42592592593,Choctaw
1,23,Black,-9,19827.5,Choctaw
1,23,Hispanic,75,16220,Choctaw
1,23,Black,25,18250,Choctaw
1,23,Black,50,24560,Choctaw
1,23,Hispanic,50,17150,Choctaw
1,23,Pooled,50,13149.82946781733,Choctaw
1,23,White,50,7285.5,Choctaw
1,23,White,25,7260,Choctaw
1,23,Black,75,30870,Choctaw
1,25,Hispanic,75,15350,Clarke
1,25,Black,75,28490,Clarke
1,25,AIAN,75,5734,Clarke
1,25,Black,50,22980,Clarke
1,25,AIAN,50,9892,Clarke
1,25,AIAN,-9,9892,Clarke
1,25,Hispanic,25,15320,Clarke
1,25,Hispanic,-9,15335,Clarke
1,25,Black,25,17470,Clarke
1,25,AIAN,25,14050,Clarke
1,25,Pooled,-9,12596.4520123839,Clarke
1,25,White,25,5984,Clarke
1,25,White,75,8574,Clarke
1,25,Black,-9,18650.71428571429,Clarke
1,25,Hispanic,50,15335,Clarke
1,25,Pooled,25,13473.34328358209,Clarke
1,25,Pooled,50,12312.54049425006,Clarke
1,25,White,-9,7519.389221556886,Clarke
1,25,Pooled,75,11151.73770491803,Clarke
1,25,White,50,7279,Clarke
1,27,Black,25,13570,Clay
1,27,White,-9,6775.780487804878,Clay
1,27,White,75,7996,Clay
1,27,Hispanic,75,8915,Clay
1,27,Black,50,19715,Clay
1,27,Hispanic,-9,7006.5,Clay
1,27,White,50,6975,Clay
1,27,Black,75,25860,Clay
1,27,White,25,5954,Clay
1,27,Black,-9,18398.21428571429,Clay
1,27,Hispanic,50,7006.5,Clay
1,27,Pooled,75,10394.30588235294,Clay
1,27,Hispanic,25,5098,Clay
1,27,Pooled,-9,8358.086538461539,Clay
1,27,Pooled,25,6950.943089430894,Clay
1,27,Pooled,50,8672.624485891918,Clay
1,29,Black,-9,20110,Cleburne
1,29,Black,25,16960,Cleburne
1,29,Black,50,20110,Cleburne
1,29,White,25,4946,Cleburne
1,29,Pooled,75,8102.952380952381,Cleburne
1,29,Pooled,25,6962.533333333334,Cleburne
1,29,Pooled,50,7532.742857142857,Cleburne
1,29,Hispanic,-9,6095,Cleburne
1,29,Hispanic,25,23180,Cleburne
1,29,White,75,8566,Cleburne
1,29,Black,75,23260,Cleburne
1,29,Pooled,-9,7432.117647058823,Cleburne
1,29,Hispanic,50,6095,Cleburne
1,29,White,50,6756,Cleburne
1,29,White,-9,6377.162790697675,Cleburne
1,29,Hispanic,75,-10990,Cleburne
1,31,Black,50,17865,Coffee
1,31,White,50,8824,Coffee
1,31,Asian,25,13610,Coffee
1,31,Pooled,50,10466.71998415876,Coffee
1,31,White,25,6748,Coffee
1,31,AIAN,25,10150,Coffee
1,31,White,-9,9120.571428571429,Coffee
1,31,AIAN,50,8892.5,Coffee
1,31,Pooled,-9,10464.57711442786,Coffee
1,31,Black,25,13930,Coffee
1,31,Asian,50,14170,Coffee
1,31,Black,75,21800,Coffee
1,31,Hispanic,25,12180,Coffee
1,31,Hispanic,50,12680,Coffee
1,31,Asian,75,14730,Coffee
1,31,Asian,-9,14170,Coffee
1,31,Hispanic,-9,12701.73913043478,Coffee
1,31,Pooled,75,11758.87043189369,Coffee
1,31,AIAN,-9,8892.5,Coffee
1,31,Black,-9,15446.23853211009,Coffee
1,31,Pooled,25,9174.569536423842,Coffee
1,31,White,75,10900,Coffee
1,31,AIAN,75,7635,Coffee
1,31,Hispanic,75,13180,Coffee
1,33,Black,75,19750,Colbert
1,33,Asian,25,6567,Colbert
1,33,Hispanic,-9,21059.5,Colbert
1,33,Asian,75,9159,Colbert
1,33,Asian,-9,7863,Colbert
1,33,Hispanic,25,7879,Colbert
1,33,Pooled,50,9228.351852052772,Colbert
1,33,Asian,50,7863,Colbert
1,33,Black,50,16190,Colbert
1,33,Black,-9,14507.09090909091,Colbert
1,33,White,75,8859,Colbert
1,33,Pooled,25,7599.814024390244,Colbert
1,33,Pooled,-9,9102.668308702792,Colbert
1,33,White,50,7353,Colbert
1,33,AIAN,50,27020,Colbert
1,33,Pooled,75,10856.8896797153,Colbert
1,33,AIAN,-9,27020,Colbert
1,33,White,25,5847,Colbert
1,33,AIAN,75,44570,Colbert
1,33,AIAN,25,9470,Colbert
1,33,Black,25,12630,Colbert
1,33,Hispanic,50,21059.5,Colbert
1,33,White,-9,7368.852631578948,Colbert
1,33,Hispanic,75,34240,Colbert
1,35,Pooled,50,12914.02576950608,Conecuh
1,35,Pooled,25,13224.96062992126,Conecuh
1,35,White,25,5806,Conecuh
1,35,Hispanic,50,21125,Conecuh
1,35,White,-9,6597.024390243902,Conecuh
1,35,Hispanic,-9,21125,Conecuh
1,35,Pooled,-9,13064.94736842105,Conecuh
1,35,Black,25,18310,Conecuh
